Candidate Rank,Priority Tier,Center Name,City,State/Country,Organization Type,Primary Wildlife Focus,Website URL,Link Hub URL,Facebook Handle,Facebook URL,Instagram Handle,Instagram URL,TikTok Handle,TikTok URL,YouTube Handle,YouTube URL,X / Other URL,Known Social URL Count,Verification Status,Inclusion Rationale,Source URL,Apify Search Query,FB Followers,IG Followers,TikTok Followers,YouTube Subscribers,Recent Posts 30D,Avg Engagement / Post,Last Scraped Date,Scrape Notes
46,B,Wildlife In Need Center,Oconomowoc,WI,Wildlife rehabilitation center,Wisconsin native wildlife; rehab and education,https://www.helpingwildlife.org/,,@wildlifeinneedcenter,https://www.facebook.com/wildlifeinneedcenter,@wildlifeinneedcenter,https://www.instagram.com/wildlifeinneedcenter/,@wildlifeinneedcenter,https://www.tiktok.com/@wildlifeinneedcenter,@WildlifeInNeedCenter,https://www.youtube.com/@WildlifeInNeedCenter,,4,High-confidence official seed; verify platform-specific URLs,Active Midwest wildlife rehab with education programming,https://www.helpingwildlife.org/,"""Wildlife In Need Center"" wildlife rehabilitation official social media",,,,,,,,
47,B,Fellow Mortals Wildlife Hospital,Lake Geneva,WI,Wildlife hospital,Ethical wildlife rehabilitation; birds and mammals,https://fellowmortals.org/,,@fellowmortalswildlifehospital,https://www.facebook.com/fellowmortalswildlifehospital,@fellowmortals,https://www.instagram.com/fellowmortals/,,,,,,2,Official website confirmed; Facebook mentioned on site; other platforms to verify,Respected wildlife hospital; strong educational and ethical relevance,https://fellowmortals.org/,"""Fellow Mortals Wildlife Hospital"" wildlife rehabilitation official social media",,,,,,,,
48,B,"Raptor Education Group, Inc. (REGI)",Antigo,WI,Raptor rehabilitation / education,Raptors and avian wildlife; rehab and education,https://www.raptoreducationgroup.org/,,@RaptorEducationGroupInc,https://www.facebook.com/RaptorEducationGroupInc,@raptoreducationgroup,https://www.instagram.com/raptoreducationgroup/,@raptoreducationgroup,https://www.tiktok.com/@raptoreducationgroup,@RaptorEducationGroup,https://www.youtube.com/@RaptorEducationGroup,,4,High-confidence official seed; verify platform-specific URLs,Known raptor rehab organization; strong patient education content,https://www.raptoreducationgroup.org/,"""Raptor Education Group, Inc. (REGI)"" wildlife rehabilitation official social media",,,,,,,,
49,B,Wild Instincts,Rhinelander,WI,Wildlife rehabilitation center,"Wisconsin wildlife rescue, rehab, education",https://www.wildinstinctsrehab.com/,,@WildInstincts,https://www.facebook.com/WildInstincts,@wildinstincts,https://www.instagram.com/wildinstincts/,@wildinstincts,https://www.tiktok.com/@wildinstincts,@WildInstincts,https://www.youtube.com/@WildInstincts,,4,High-confidence official seed; verify platform-specific URLs,Active wildlife rehab and education organization,https://www.wildinstinctsrehab.com/,"""Wild Instincts"" wildlife rehabilitation official social media",,,,,,,,
50,B,Dane County Humane Society Wildlife Center,Madison,WI,Wildlife center,Wildlife rehabilitation under humane society parent,https://www.giveshelter.org/our-services/wildlife-center,,@DaneCountyHumaneSociety,https://www.facebook.com/DaneCountyHumaneSociety,@giveshelter,https://www.instagram.com/giveshelter/,@giveshelter,https://www.tiktok.com/@giveshelter,@DaneCountyHumaneSociety,https://www.youtube.com/@DaneCountyHumaneSociety,,4,Uses parent organization accounts; filter wildlife center posts,Large humane society wildlife center; good operational education content,https://www.giveshelter.org/our-services/wildlife-center,"""Dane County Humane Society Wildlife Center"" wildlife rehabilitation official social media",,,,,,,,
51,B,Willowbrook Wildlife Center,Glen Ellyn,IL,Wildlife rehabilitation center,Native wildlife rehabilitation and education,https://www.dupageforest.org/places-to-go/centers/willowbrook-wildlife-center,,@WillowbrookWildlifeCenter,https://www.facebook.com/WillowbrookWildlifeCenter,@willowbrookwildlifecenter,https://www.instagram.com/willowbrookwildlifecenter/,,,,,,2,County-operated wildlife center; verify socials under forest preserve if needed,Major Illinois wildlife rehabilitation center,https://www.dupageforest.org/places-to-go/centers/willowbrook-wildlife-center,"""Willowbrook Wildlife Center"" wildlife rehabilitation official social media",,,,,,,,
52,B,Flint Creek Wildlife Rehabilitation,Barrington / Chicago,IL,Wildlife rehabilitation center,Birds and mammals; emergency wildlife care,https://flintcreekwildlife.org/,,@FlintCreekWildlife,https://www.facebook.com/FlintCreekWildlife,@flintcreekwildlife,https://www.instagram.com/flintcreekwildlife/,@flintcreekwildlife,https://www.tiktok.com/@flintcreekwildlife,@FlintCreekWildlife,https://www.youtube.com/@FlintCreekWildlife,,4,High-confidence official seed; verify platform-specific URLs,Prominent Chicagoland wildlife rehab with active rescue content,https://flintcreekwildlife.org/,"""Flint Creek Wildlife Rehabilitation"" wildlife rehabilitation official social media",,,,,,,,
53,B,Wildlife Rescue Center,Ballwin,MO,Wildlife rehabilitation center,Native Missouri wildlife rescue and rehabilitation,https://www.mowildlife.org/,,@wildliferehab,https://www.facebook.com/wildliferehab,@wildliferescuecenter,https://www.instagram.com/wildliferescuecenter/,@wildliferescuecenter,https://www.tiktok.com/@wildliferescuecenter,@WildlifeRescueCenter,https://www.youtube.com/@WildlifeRescueCenter,,4,High-confidence official seed; verify platform-specific URLs,Large St. Louis-area wildlife rehab organization,https://www.mowildlife.org/,"""Wildlife Rescue Center"" wildlife rehabilitation official social media",,,,,,,,
54,B,Wild Bird Rehabilitation,Overland,MO,Wild bird rehabilitation center,Songbirds and wild birds; rehab and education,https://www.wildbirdrehab.org/,,@wildbirdrehab,https://www.facebook.com/wildbirdrehab,@wildbirdrehab,https://www.instagram.com/wildbirdrehab/,@wildbirdrehab,https://www.tiktok.com/@wildbirdrehab,@WildBirdRehab,https://www.youtube.com/@WildBirdRehab,,4,High-confidence official seed; verify platform-specific URLs,Specialized bird rehab with educational value,https://www.wildbirdrehab.org/,"""Wild Bird Rehabilitation"" wildlife rehabilitation official social media",,,,,,,,
55,B,Lakeside Nature Center Wildlife Rehabilitation,Kansas City,MO,Wildlife rehabilitation / nature center,Native wildlife rehabilitation and education,https://lakesidenaturecenter.org/,,@lakesidenaturecenter,https://www.facebook.com/lakesidenaturecenter,@lakesidenaturecenter,https://www.instagram.com/lakesidenaturecenter/,@lakesidenaturecenter,https://www.tiktok.com/@lakesidenaturecenter,@LakesideNatureCenter,https://www.youtube.com/@LakesideNatureCenter,,4,Uses nature center accounts; filter wildlife rehab content,Important Missouri wildlife rehab and education source,https://lakesidenaturecenter.org/,"""Lakeside Nature Center Wildlife Rehabilitation"" wildlife rehabilitation official social media",,,,,,,,
56,B,Walden's Puddle,Joelton,TN,Wildlife rehabilitation center,"Tennessee native wildlife; rescue, rehab, release",https://waldenspuddle.org/,,@waldenspuddle,https://www.facebook.com/waldenspuddle,@waldenspuddle,https://www.instagram.com/waldenspuddle/,@waldenspuddle,https://www.tiktok.com/@waldenspuddle,@WaldensPuddle,https://www.youtube.com/@WaldensPuddle,,4,High-confidence official seed; verify platform-specific URLs,High-recognition Tennessee wildlife rehabilitation center,https://waldenspuddle.org/,"""Walden's Puddle"" wildlife rehabilitation official social media",,,,,,,,
57,B,Appalachian Wildlife Refuge,Candler,NC,Wildlife rehabilitation center,Western NC wildlife; rehab and education,https://www.appalachianwild.org/,,@AppalachianWild,https://www.facebook.com/AppalachianWild,@appalachianwild,https://www.instagram.com/appalachianwild/,@appalachianwild,https://www.tiktok.com/@appalachianwild,@AppalachianWild,https://www.youtube.com/@AppalachianWild,,4,High-confidence official seed; verify platform-specific URLs,Strong education and disaster/weather-relevant rescue content,https://www.appalachianwild.org/,"""Appalachian Wildlife Refuge"" wildlife rehabilitation official social media",,,,,,,,
58,B,Possumwood Acres Wildlife Sanctuary,Hubert,NC,Wildlife rehabilitation / sanctuary,"NC wildlife; rescue, rehab, education",https://possumwoodacres.org/,,@possumwoodacres,https://www.facebook.com/possumwoodacres,@possumwoodacres,https://www.instagram.com/possumwoodacres/,@possumwoodacres,https://www.tiktok.com/@possumwoodacres,@PossumwoodAcres,https://www.youtube.com/@PossumwoodAcres,,4,High-confidence official seed; verify platform-specific URLs,Recognized NC wildlife rehab/sanctuary with broad species content,https://possumwoodacres.org/,"""Possumwood Acres Wildlife Sanctuary"" wildlife rehabilitation official social media",,,,,,,,
59,B,Piedmont Wildlife Center,Durham,NC,Wildlife education / rehab-adjacent,Wildlife education; raptor ambassadors; rehab network content,https://www.piedmontwildlifecenter.org/,,@PiedmontWildlifeCenter,https://www.facebook.com/PiedmontWildlifeCenter,@piedmontwildlife,https://www.instagram.com/piedmontwildlife/,@piedmontwildlife,https://www.tiktok.com/@piedmontwildlife,@PiedmontWildlifeCenter,https://www.youtube.com/@PiedmontWildlifeCenter,,4,Rehab-adjacent; verify current intake/rehab status,Useful education source; include with rehab-status flag,https://www.piedmontwildlifecenter.org/,"""Piedmont Wildlife Center"" wildlife rehabilitation official social media",,,,,,,,
60,B,New Mexico Wildlife Center,Espanola,NM,Wildlife hospital / education,Wildlife hospital; raptors; native wildlife education,https://newmexicowildlifecenter.org/,,@NewMexicoWildlifeCenter,https://www.facebook.com/NewMexicoWildlifeCenter,@newmexicowildlifecenter,https://www.instagram.com/newmexicowildlifecenter/,@newmexicowildlifecenter,https://www.tiktok.com/@newmexicowildlifecenter,@NewMexicoWildlifeCenter,https://www.youtube.com/@NewMexicoWildlifeCenter,,4,High-confidence official seed; verify platform-specific URLs,Southwest wildlife hospital and education center,https://newmexicowildlifecenter.org/,"""New Mexico Wildlife Center"" wildlife rehabilitation official social media",,,,,,,,
61,C,Woodlands Wildlife Refuge,Pittstown,NJ,Wildlife rehabilitation center,New Jersey native wildlife; mammals; education,https://woodlandswildlife.org/,,@WoodlandsWildlifeRefuge,https://www.facebook.com/WoodlandsWildlifeRefuge,@woodlandswildliferefuge,https://www.instagram.com/woodlandswildliferefuge/,@woodlandswildliferefuge,https://www.tiktok.com/@woodlandswildliferefuge,@WoodlandsWildlifeRefuge,https://www.youtube.com/@WoodlandsWildlifeRefuge,,4,High-confidence official seed; verify platform-specific URLs,State-level wildlife rehabilitation center with patient education,https://woodlandswildlife.org/,"""Woodlands Wildlife Refuge"" wildlife rehabilitation official social media",,,,,,,,
62,C,Aark Wildlife Rehabilitation and Education Center,Chalfont,PA,Wildlife rehabilitation / education,Pennsylvania wildlife; rehab and education,https://www.aark.org/,https://linktr.ee/aarkwildliferehab,@aarkwildlife,https://www.facebook.com/aarkwildlife,@aarkwildliferehab,https://www.instagram.com/aarkwildliferehab/,@aarkwildliferehab,https://www.tiktok.com/@aarkwildliferehab,@AarkWildlifeRehab,https://www.youtube.com/@AarkWildlifeRehab,,5,Linktree search snippet confirmed,Active multi-platform wildlife rehab seed,https://www.aark.org/,"""Aark Wildlife Rehabilitation and Education Center"" wildlife rehabilitation official social media",,,,,,,,
63,C,Raven Ridge Wildlife Center,Washington Boro,PA,Wildlife rehabilitation center,Pennsylvania wildlife; rescue and rehab,https://ravenridgewildlifecenter.org/,,@RavenRidgeWildlifeCenter,https://www.facebook.com/RavenRidgeWildlifeCenter,@ravenridgewildlifecenter,https://www.instagram.com/ravenridgewildlifecenter/,@ravenridgewildlifecenter,https://www.tiktok.com/@ravenridgewildlifecenter,@RavenRidgeWildlifeCenter,https://www.youtube.com/@RavenRidgeWildlifeCenter,,4,High-confidence official seed; verify platform-specific URLs,Active Pennsylvania wildlife rehab with broad species content,https://ravenridgewildlifecenter.org/,"""Raven Ridge Wildlife Center"" wildlife rehabilitation official social media",,,,,,,,
64,C,Red Creek Wildlife Center,Schuylkill Haven,PA,Wildlife rehabilitation center,Pennsylvania wildlife; rehab and education,https://redcreekwildlifecenter.com/,,@RedCreekWildlifeCenter,https://www.facebook.com/RedCreekWildlifeCenter,@redcreekwildlifecenter,https://www.instagram.com/redcreekwildlifecenter/,@redcreekwildlifecenter,https://www.tiktok.com/@redcreekwildlifecenter,@RedCreekWildlifeCenter,https://www.youtube.com/@RedCreekWildlifeCenter,,4,High-confidence official seed; verify platform-specific URLs,Regional wildlife center with educational posts,https://redcreekwildlifecenter.com/,"""Red Creek Wildlife Center"" wildlife rehabilitation official social media",,,,,,,,
65,C,Philadelphia Metro Wildlife Center,Norristown,PA,Wildlife rehabilitation center,Urban/suburban wildlife rehabilitation,https://www.phillywildlife.org/,,@PhiladelphiaMetroWildlifeCenter,https://www.facebook.com/PhiladelphiaMetroWildlifeCenter,@phillywildlife,https://www.instagram.com/phillywildlife/,@phillywildlife,https://www.tiktok.com/@phillywildlife,@PhillyWildlife,https://www.youtube.com/@PhillyWildlife,,4,High-confidence official seed; verify platform-specific URLs,Urban wildlife rehab account; useful for coexistence topics,https://www.phillywildlife.org/,"""Philadelphia Metro Wildlife Center"" wildlife rehabilitation official social media",,,,,,,,
66,C,Volunteers for Wildlife,Locust Valley,NY,Wildlife hospital / education,Long Island wildlife; rehabilitation and education,https://www.volunteersforwildlife.org/,,@VolunteersforWildlife,https://www.facebook.com/VolunteersforWildlife,@volunteersforwildlife,https://www.instagram.com/volunteersforwildlife/,@volunteersforwildlife,https://www.tiktok.com/@volunteersforwildlife,@VolunteersforWildlife,https://www.youtube.com/@VolunteersforWildlife,,4,High-confidence official seed; verify platform-specific URLs,Active Long Island wildlife hospital/education source,https://www.volunteersforwildlife.org/,"""Volunteers for Wildlife"" wildlife rehabilitation official social media",,,,,,,,
67,C,Evelyn Alexander Wildlife Rescue Center,Hampton Bays,NY,Wildlife hospital / rehab,Eastern Long Island native wildlife rescue and rehab,https://wildliferescuecenter.org/,,@EvelynAlexanderWRC,https://www.facebook.com/EvelynAlexanderWRC,@eawildliferescue,https://www.instagram.com/eawildliferescue/,@eawildliferescue,https://www.tiktok.com/@eawildliferescue,@EvelynAlexanderWRC,https://www.youtube.com/@EvelynAlexanderWRC,,4,High-confidence official seed; verify platform-specific URLs,Important regional wildlife hospital with patient education content,https://wildliferescuecenter.org/,"""Evelyn Alexander Wildlife Rescue Center"" wildlife rehabilitation official social media",,,,,,,,
68,C,Sweetbriar Nature Center,Smithtown,NY,Wildlife rehabilitation / education,Native wildlife rehabilitation and nature education,https://sweetbriarnc.org/,,@sweetbriarnaturecenter,https://www.facebook.com/sweetbriarnaturecenter,@sweetbriarnaturecenter,https://www.instagram.com/sweetbriarnaturecenter/,@sweetbriarnaturecenter,https://www.tiktok.com/@sweetbriarnaturecenter,@SweetbriarNatureCenter,https://www.youtube.com/@SweetbriarNatureCenter,,4,High-confidence official seed; verify platform-specific URLs,Wildlife rehabilitation plus education/ambassador content,https://sweetbriarnc.org/,"""Sweetbriar Nature Center"" wildlife rehabilitation official social media",,,,,,,,
69,C,Wildlife Rescue Center of the Hamptons,Hampton Bays,NY,Wildlife rescue / rehab,Long Island wildlife rescue and rehabilitation,https://wildliferescuehamptons.org/,,@WildlifeRescueCenterofTheHamptons,https://www.facebook.com/WildlifeRescueCenterofTheHamptons,@wildlife_rescue_center_hamptons,https://www.instagram.com/wildlife_rescue_center_hamptons/,@wildlife_rescue_center_hamptons,https://www.tiktok.com/@wildlife_rescue_center_hamptons,@WildlifeRescueHamptons,https://www.youtube.com/@WildlifeRescueHamptons,,4,Needs verification; use website/contact/social finder,Regional wildlife rescue/rehab; include for Long Island coverage,https://wildliferescuehamptons.org/,"""Wildlife Rescue Center of the Hamptons"" wildlife rehabilitation official social media",,,,,,,,
70,C,Avian Haven,Freedom,ME,Wild bird rehabilitation center,Wild bird rehabilitation and release,https://avianhaven.org/,,@AvianHaven,https://www.facebook.com/AvianHaven,@avianhavenmaine,https://www.instagram.com/avianhavenmaine/,,,,,,2,High-confidence official seed; verify Instagram and any video channels,Specialized bird rehab with deep avian care knowledge,https://avianhaven.org/,"""Avian Haven"" wildlife rehabilitation official social media",,,,,,,,
71,C,City Wildlife,Washington,DC,Wildlife rehabilitation center,"Urban wildlife rescue, rehab, and conflict education",https://citywildlife.org/,,@citywildlife,https://www.facebook.com/citywildlife,@citywildlifedc,https://www.instagram.com/citywildlifedc/,@citywildlifedc,https://www.tiktok.com/@citywildlifedc,@CityWildlifeDC,https://www.youtube.com/@CityWildlifeDC,https://x.com/CityWildlifeDC,5,Official website confirmed; social seed to verify,DC urban wildlife rehab and education source,https://citywildlife.org/programs/rehabilitation-center/,"""City Wildlife"" wildlife rehabilitation official social media",,,,,,,,
72,C,Second Chance Wildlife Center,Gaithersburg,MD,Wildlife rehabilitation center,Maryland wildlife; rehabilitation and education,https://www.scwc.org/,https://linktr.ee/secondchancewildlifecenter,@SecondChanceWildlifeCenter,https://www.facebook.com/SecondChanceWildlifeCenter,@secondchancewildlifecenter,https://www.instagram.com/secondchancewildlifecenter/,@secondchancewildlifecenter,https://www.tiktok.com/@secondchancewildlifecenter,@SecondChanceWildlifeCenter,https://www.youtube.com/@SecondChanceWildlifeCenter,,5,Linktree search snippet confirmed,Active regional rehab center; useful Maryland/DC/Virginia overlap,https://www.scwc.org/,"""Second Chance Wildlife Center"" wildlife rehabilitation official social media",,,,,,,,
73,C,Owl Moon Raptor Center,Boyds,MD,Raptor rehabilitation center,Raptors; rehabilitation and education,https://owlmoon.org/,,@OwlMoonRaptorCenter,https://www.facebook.com/OwlMoonRaptorCenter,@owlmoonraptorcenter,https://www.instagram.com/owlmoonraptorcenter/,@owlmoonraptorcenter,https://www.tiktok.com/@owlmoonraptorcenter,@OwlMoonRaptorCenter,https://www.youtube.com/@OwlMoonRaptorCenter,,4,High-confidence official seed; verify platform-specific URLs,Specialized raptor rehab content source,https://owlmoon.org/,"""Owl Moon Raptor Center"" wildlife rehabilitation official social media",,,,,,,,
74,C,Phoenix Wildlife Center,Phoenix,MD,Wildlife rehabilitation center,Maryland wildlife rehabilitation and education,https://www.phoenixwildlife.org/,,@PhoenixWildlifeCenter,https://www.facebook.com/PhoenixWildlifeCenter,@phoenixwildlifecenter,https://www.instagram.com/phoenixwildlifecenter/,@phoenixwildlifecenter,https://www.tiktok.com/@phoenixwildlifecenter,@PhoenixWildlifeCenter,https://www.youtube.com/@PhoenixWildlifeCenter,,4,High-confidence official seed; verify platform-specific URLs,Maryland wildlife rehab account with patient content,https://www.phoenixwildlife.org/,"""Phoenix Wildlife Center"" wildlife rehabilitation official social media",,,,,,,,
75,C,Wildlife Rescue League,Northern Virginia,VA,Rehabilitator network / nonprofit,Northern Virginia licensed rehabilitator network; helpline and education,https://www.wildliferescueleague.org/,https://linktr.ee/wildliferescueleague,@WildlifeRescueLeague,https://www.facebook.com/WildlifeRescueLeague,@wildliferescueleagueva,https://www.instagram.com/wildliferescueleagueva/,,,@wildliferescueleague,https://www.youtube.com/@wildliferescueleague,https://x.com/wildliferehab,5,Official website/Linktree/YouTube snippets confirmed,Virginia example-adjacent; network model and education resources,https://www.wildliferescueleague.org/,"""Wildlife Rescue League"" wildlife rehabilitation official social media",,,,,,,,
76,C,A.E.R.O. Animal Education and Rescue Organization,Gainesville / Northern Virginia,VA,Home-based rehabilitator network,Virginia native wildlife; rescue and rehabilitation,https://aeroanimalrescue.org/,,@aeroanimalrescue,https://www.facebook.com/aeroanimalrescue,@aeroanimalrescue,https://www.instagram.com/aeroanimalrescue/,@aeroanimalrescue,https://www.tiktok.com/@aeroanimalrescue,,,,3,Official website/Facebook snippets confirmed; other platforms to verify,Virginia example supplied; important local rehabber network,https://aeroanimalrescue.org/,"""A.E.R.O. Animal Education and Rescue Organization"" wildlife rehabilitation official social media",,,,,,,,
77,C,Richmond Wildlife Center,Richmond / Chesterfield,VA,Wildlife rescue / triage / rehab,"Greater Richmond sick, injured, orphaned wildlife",https://www.richmondwildlifecenter.org/,,@RichmondWildlifeCenter,https://www.facebook.com/RichmondWildlifeCenter,@richmondwildlifecenter,https://www.instagram.com/richmondwildlifecenter/,@richmondwildlifecenter,https://www.tiktok.com/@richmondwildlifecenter,@RichmondWildlifeCenter,https://www.youtube.com/@RichmondWildlifeCenter,,4,Official website search snippet confirmed; verify social URLs,Virginia urban wildlife rescue and education source,https://www.richmondwildlifecenter.org/,"""Richmond Wildlife Center"" wildlife rehabilitation official social media",,,,,,,,
78,C,Rockfish Wildlife Sanctuary,Charlottesville area,VA,Wildlife sanctuary / rehabilitation,Central Virginia native wildlife rehabilitation and education,https://www.rockfishwildlifesanctuary.org/,,@RockfishWildlifeSanctuary,https://www.facebook.com/RockfishWildlifeSanctuary,@rockfishwildlifesanctuary,https://www.instagram.com/rockfishwildlifesanctuary/,@rockfishwildlifesanctuary,https://www.tiktok.com/@rockfishwildlifesanctuary,@RockfishWildlifeSanctuary,https://www.youtube.com/@RockfishWildlifeSanctuary,,4,High-confidence official seed; verify platform-specific URLs,Central Virginia coverage; strong local education relevance,https://www.rockfishwildlifesanctuary.org/,"""Rockfish Wildlife Sanctuary"" wildlife rehabilitation official social media",,,,,,,,
79,C,Wildlife Veterinary Care,Virginia / West Virginia / Maryland,VA/WV/MD,Wildlife veterinary care / rehab,Free veterinary and rehabilitative care; wildlife health monitoring,https://www.wildlifeveterinarycare.org/,,@WildlifeVeterinaryCare,https://www.facebook.com/WildlifeVeterinaryCare,@wildlifeveterinarycare,https://www.instagram.com/wildlifeveterinarycare/,,,,,,2,Official website confirmed; socials need verification,Specialized veterinary lens valuable for knowledge database,https://www.wildlifeveterinarycare.org/,"""Wildlife Veterinary Care"" wildlife rehabilitation official social media",,,,,,,,
80,C,Carolina Waterfowl Rescue,Indian Trail,NC,Wildlife rescue / rehabilitation,"Waterfowl, wild birds, farm/wildlife rescue; education",https://cwrescue.org/,,@CarolinaWaterfowlRescue,https://www.facebook.com/CarolinaWaterfowlRescue,@carolinawaterfowlrescue,https://www.instagram.com/carolinawaterfowlrescue/,@carolinawaterfowlrescue,https://www.tiktok.com/@carolinawaterfowlrescue,@CarolinaWaterfowlRescue,https://www.youtube.com/@CarolinaWaterfowlRescue,,4,High-confidence official seed; verify platform-specific URLs,High-activity rescue account with avian/waterfowl education,https://cwrescue.org/,"""Carolina Waterfowl Rescue"" wildlife rehabilitation official social media",,,,,,,,
81,C,Rogers Wildlife Rehabilitation Center,Hutchins,TX,Wild bird rehabilitation center,"Birds and waterfowl; rescue, rehab, release",https://rogerswildlife.org/,,@RogersWildlifeRehabilitationCenter,https://www.facebook.com/RogersWildlifeRehabilitationCenter,@rogerswildliferehab,https://www.instagram.com/rogerswildliferehab/,@rogerswildliferehab,https://www.tiktok.com/@rogerswildliferehab,@RogersWildlifeRehab,https://www.youtube.com/@RogersWildlifeRehab,,4,High-confidence official seed; verify platform-specific URLs,Prominent Texas bird rehab with high education potential,https://rogerswildlife.org/,"""Rogers Wildlife Rehabilitation Center"" wildlife rehabilitation official social media",,,,,,,,
82,C,TWRC Wildlife Center,Houston,TX,Wildlife rehabilitation center,Houston-area wildlife rehabilitation and education,https://www.twrcwildlifecenter.org/,,@twrcwildlifecenter,https://www.facebook.com/twrcwildlifecenter,@twrcwildlifecenter,https://www.instagram.com/twrcwildlifecenter/,@twrcwildlifecenter,https://www.tiktok.com/@twrcwildlifecenter,@TWRCWildlifeCenter,https://www.youtube.com/@TWRCWildlifeCenter,,4,High-confidence official seed; verify platform-specific URLs,Major Houston-area wildlife rehab center,https://www.twrcwildlifecenter.org/,"""TWRC Wildlife Center"" wildlife rehabilitation official social media",,,,,,,,
83,C,"Wildlife Rescue & Rehabilitation, Inc.",Kendalia / San Antonio,TX,Wildlife rescue / rehab / sanctuary,Native wildlife rehabilitation and sanctuary care,https://wildlife-rescue.org/,,@wildliferescuerehab,https://www.facebook.com/wildliferescuerehab,@wildliferescuerehab,https://www.instagram.com/wildliferescuerehab/,@wildliferescuerehab,https://www.tiktok.com/@wildliferescuerehab,@WildlifeRescueRehab,https://www.youtube.com/@WildlifeRescueRehab,,4,High-confidence official seed; verify platform-specific URLs,Longstanding Texas wildlife rescue/rehab organization,https://wildlife-rescue.org/,"""Wildlife Rescue & Rehabilitation, Inc."" wildlife rehabilitation official social media",,,,,,,,
84,C,Houston SPCA Wildlife Center of Texas,Houston,TX,Wildlife center / hospital,Wildlife rehabilitation under Houston SPCA parent,https://houstonspca.org/wildlife-center/,,@HoustonSPCA,https://www.facebook.com/HoustonSPCA,@houstonspca,https://www.instagram.com/houstonspca/,@houstonspca,https://www.tiktok.com/@houstonspca,@HoustonSPCA,https://www.youtube.com/@HoustonSPCA,https://x.com/HoustonSPCA,5,Uses parent-organization accounts; filter wildlife center posts,Large institutional wildlife center with rescue/education content,https://houstonspca.org/wildlife-center/,"""Houston SPCA Wildlife Center of Texas"" wildlife rehabilitation official social media",,,,,,,,
85,C,Center for Birds of Prey / Avian Conservation Center,Awendaw,SC,Avian medical clinic / education,Birds of prey and shorebirds; medical care and conservation,https://www.thecenterforbirdsofprey.org/,,@CenterforBirdsofPrey,https://www.facebook.com/CenterforBirdsofPrey,@centerforbirdsofprey,https://www.instagram.com/centerforbirdsofprey/,@centerforbirdsofprey,https://www.tiktok.com/@centerforbirdsofprey,@CenterforBirdsofPrey,https://www.youtube.com/@CenterforBirdsofPrey,,4,High-confidence official seed; verify platform-specific URLs,Specialized avian medicine and conservation education,https://www.thecenterforbirdsofprey.org/,"""Center for Birds of Prey / Avian Conservation Center"" wildlife rehabilitation official social media",,,,,,,,
86,C,Audubon Center for Birds of Prey,Maitland,FL,Raptor rehabilitation center,Raptor rehabilitation and conservation education,https://cbop.audubon.org/,,@AudubonCenterforBirdsofPrey,https://www.facebook.com/AudubonCenterforBirdsofPrey,@auduboncbop,https://www.instagram.com/auduboncbop/,@auduboncbop,https://www.tiktok.com/@auduboncbop,@AudubonCBOP,https://www.youtube.com/@AudubonCBOP,https://x.com/AudubonCBOP,5,High-confidence official seed; verify platform-specific URLs,Florida raptor rehab and education content,https://cbop.audubon.org/,"""Audubon Center for Birds of Prey"" wildlife rehabilitation official social media",,,,,,,,
87,C,Seaside Seabird Sanctuary,Indian Shores,FL,Seabird rehabilitation / sanctuary,"Wild birds, seabirds; rescue, rehab, education",https://seasideseabirdsanctuary.org/,,@SeasideSeabirdSanctuary,https://www.facebook.com/SeasideSeabirdSanctuary,@seasideseabirdsanctuary,https://www.instagram.com/seasideseabirdsanctuary/,@seasideseabirdsanctuary,https://www.tiktok.com/@seasideseabirdsanctuary,@SeasideSeabirdSanctuary,https://www.youtube.com/@SeasideSeabirdSanctuary,,4,High-confidence official seed; verify platform-specific URLs,Seabird-specific rescue/rehab content source,https://seasideseabirdsanctuary.org/,"""Seaside Seabird Sanctuary"" wildlife rehabilitation official social media",,,,,,,,
88,C,Emerald Coast Wildlife Refuge,Navarre,FL,Wildlife refuge / rehab,Native wildlife rehabilitation and education,https://emeraldcoastwildliferefuge.org/,,@EmeraldCoastWildlifeRefuge,https://www.facebook.com/EmeraldCoastWildlifeRefuge,@emeraldcoastwildliferefuge,https://www.instagram.com/emeraldcoastwildliferefuge/,@emeraldcoastwildliferefuge,https://www.tiktok.com/@emeraldcoastwildliferefuge,@EmeraldCoastWildlifeRefuge,https://www.youtube.com/@EmeraldCoastWildlifeRefuge,,4,High-confidence official seed; verify platform-specific URLs,Florida panhandle wildlife rehab and education source,https://emeraldcoastwildliferefuge.org/,"""Emerald Coast Wildlife Refuge"" wildlife rehabilitation official social media",,,,,,,,
89,C,Wetlands & Wildlife Care Center,Huntington Beach,CA,Wildlife hospital / rehabilitation,"Coastal Southern California wildlife; birds, mammals, reptiles",https://www.wwccoc.org/,,@WWCCHB,https://www.facebook.com/WWCCHB,@wetlandsandwildlifecarecenter,https://www.instagram.com/wetlandsandwildlifecarecenter/,@wetlandswildlifecarecenter,https://www.tiktok.com/@wetlandswildlifecarecenter,@WetlandsWildlifeCareCenter,https://www.youtube.com/@WetlandsWildlifeCareCenter,,4,High-confidence official seed; verify platform-specific URLs,Coastal wildlife hospital with seabird/mammal education content,https://www.wwccoc.org/,"""Wetlands & Wildlife Care Center"" wildlife rehabilitation official social media",,,,,,,,
